route_id,query_date,route_pair,n_flights,synthetic,corridor_id,waypoint_index,lon,lat
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,35,88.18483,53.10398
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,36,90.43263,52.59176
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,37,92.68042,52.07954
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,38,94.92822,51.56732
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,39,97.17602,51.05526
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,40,99.42382,50.54346
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,41,101.67161,50.03192
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,42,103.91869,49.52064
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,43,106.16463,49.00963
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,44,108.40941,48.49873
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,45,110.65304,47.98783
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,46,112.89553,47.47692
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,47,115.13758,46.96602
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,48,117.37964,46.45512
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,49,119.62169,45.94297
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,50,121.86374,45.42952
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,51,124.1058,44.91531
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,52,126.34785,44.40083
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,53,128.58343,43.93194
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,54,130.7656,43.31799
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,55,132.89438,42.559
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,56,134.96976,41.65447
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,57,136.90405,40.52978
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,58,137.86965,39.89
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,59,139.7811,35.5494
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,0,8.5706,50.0333
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,1,12.94072,49.48822
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,2,13.49356,49.36524
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,3,14.60126,49.11777
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,4,15.69971,48.84559
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,5,16.7881,48.53831
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,6,17.86657,48.19936
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,7,18.93432,47.82755
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,8,19.98948,47.42337
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,9,21.03632,46.98597
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,10,22.07526,46.52595
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,11,23.10716,46.04395
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,12,24.13197,45.54633
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,13,25.14969,45.04377
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,14,26.16014,44.54679
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,15,27.16679,44.05684
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,16,28.17475,43.59859
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,17,29.19334,43.17482
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,18,30.22817,42.79292
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,19,31.27972,42.43444
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,20,32.34721,42.10288
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,21,33.42782,41.77691
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,22,34.51137,41.45091
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,23,35.59353,41.10812
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,24,36.67543,40.76091
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,25,37.75568,40.40666
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,26,38.83337,40.04544
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,27,39.91082,39.67873
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,28,40.98827,39.31126
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,29,42.06533,38.94378
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,30,43.13788,38.57631
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,31,44.20592,38.20883
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,32,45.26943,37.84136
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,33,46.32843,37.47388
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,34,47.3833,37.1058
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,35,48.43817,36.73717
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,36,49.49305,36.36797
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,37,50.54792,35.99822
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,38,51.60279,35.62791
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,39,52.65766,35.25764
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,40,53.71253,34.88738
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,41,54.7674,34.51711
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,42,55.82227,34.14685
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,43,56.87714,33.77429
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,44,57.93201,33.40195
2022-01-17_EDDF_VIDP_0,2022-01-17,EDDF→VIDP,10,False,0,45,58.98758,33.03009
